,0
animal,0.7934230491172803
animalité,0.23921267362095874
zoo,0.18934600364153667
humain,0.14538362111004785
urbain,0.11628678632239606
homm,0.09965264869334099
ville,0.09512907588314118
hybride,0.08594705505526318
communauté,0.08178572855058756
compagnie,0.07499459891530331
communal,0.07433647331777062
famille,0.0676435145671928
singulier,0.06758609297599379
bêton,0.06638375601565875
perroquet,0.06311533454717888
aventure,0.0631137952329219
agencement,0.06084013283521918
transgénique,0.06079635261039692
espèce,0.057614477906559915
homme,0.05262251351914735
anthropomorphique,0.04978781701174406
alouette,0.04978781701174406
éthologue,0.04733650091038417
chat,0.046024061532627024
falloir,0.04423520368105235
poisson,0.0414671126041524
constituer,0.040650564052854755
affectif,0.040277030749095506
devoir,0.03951114652971696
pouvoir,0.038454458356014395
artiste,0.038274325570881486
société,0.03767770103133044
non,0.037608508524006386
fondamental,0.03695473871963124
authentique,0.03617720607525034
oiseau,0.03557213257192173
important,0.03460943129270515
tamagushi,0.03319187800782938
interspécifique,0.03319187800782938
animalthèqu,0.03319187800782938
Kac,0.03319187800782938
Eduardo,0.03319187800782938
étho,0.03319187800782938
être,0.03316089729506555
illusoire,0.03302560679595855
cheval,0.03265908916318153
savoir,0.031728717765168196
comprendre,0.031617105374442595
corbeau,0.03155766727358944
exposé,0.03083159290385467
particulier,0.030813725856350695
chien,0.030574290694598646
vouloir,0.030469044625070028
zoologie,0.03039817630519846
animaliter,0.03039817630519846
propreté,0.030090377346216907
essayer,0.030083417412508508
interaction,0.030066494972492887
commensal,0.029498805238386907
vie,0.02922605390617231
partie,0.028934205269627457
chimpanzé,0.028763965570958522
appartenir,0.02856717987196035
venir,0.028364163729704434
aucun,0.028162916839609593
soigneusement,0.028142667484818674
robot,0.027876177494163983
projection,0.027796100967357577
décrire,0.02779217198198474
estimer,0.027560425284892744
véritable,0.027344632222445694
mère,0.027119480009017823
point,0.026893256181848343
relation,0.026411765019729166
question,0.026343547024327375
caractéristique,0.026183747067228924
plaisir,0.0260767844319298
catégorie,0.02602034446162703
artificiel,0.02601722050787525
ethnologie,0.02507089280151605
trouver,0.02471380334097083
brésilien,0.024336053134087668
occuper,0.02417322054044199
homogénéité,0.024118137383500222
installer,0.02398254601924605
naturel,0.023837300302568584
place,0.023647642542039073
perfectionner,0.023348096971867367
superficiel,0.023348096971867367
bien,0.023263027501861145
jeu,0.02326198448870856
réflexion,0.023205508723347437
vivre,0.02313891132968563
rester,0.023054071178648102
doute,0.022869602735467672
devenir,0.022805789575174287
vraiment,0.02207152720952266
urbaine,0.021976692758541454
béton,0.021772726108787686
utopique,0.02154235143145675
ajout,0.021431920973126323
espace,0.021266472715927756
part,0.021016053099501827
prêt,0.020645891902607856
attirer,0.02040690073023168
mi,0.02029975525917705
développer,0.019994292034030997
ferme,0.019908140697216813
touriste,0.01962012823039283
conceptuel,0.019551229807488173
suppose,0.019483489396254213
attention,0.019375351852568962
signification,0.01922336949467478
interagir,0.0190387360107674
sur,0.018900564074807658
fond,0.018809922356136207
proprement,0.0186382192704954
barrière,0.01847804748169642
faire,0.018348112910575205
contraire,0.01819457580124795
club,0.018127351642685977
exemple,0.018055681271187975
autant,0.01802681319855978
ressembler,0.017985917496152894
soir,0.017985917496152894
autour,0.017907684145894616
manger,0.017804742743764822
équivalent,0.017760693566605524
satisfaction,0.017760693566605524
film,0.017424627361051673
enfant,0.01692403575120906
jamais,0.016871578247360207
langage,0.016689787693623292
philosophe,0.01662316701002317
pie,0.01659593900391469
élargieun,0.01659593900391469
éthogramm,0.01659593900391469
urbaineler,0.01659593900391469
prêtLes,0.01659593900391469
pâté,0.01659593900391469
doient,0.01659593900391469
éthologie,0.01659593900391469
soigneur,0.01659593900391469
crypto,0.01659593900391469
corneille,0.01659593900391469
retirons,0.01659593900391469
contruiser,0.01659593900391469
phosporescent,0.01659593900391469
municiplicité,0.01659593900391469
symptome,0.01659593900391469
saturon,0.01659593900391469
uexküll,0.01659593900391469
intonation,0.01659593900391469
introductionil,0.01659593900391469
heinrich,0.01659593900391469
hardi,0.01659593900391469
hamster,0.01659593900391469
gaiemer,0.01659593900391469
laiser,0.01659593900391469
essayèrent,0.01659593900391469
fluorescent,0.01659593900391469
lapine,0.01659593900391469
lémiurien,0.01659593900391469
transformon,0.01659593900391469
mortification,0.01659593900391469
urbainel,0.01659593900391469
toiletter,0.01659593900391469
Allais,0.01659593900391469
Alba,0.01659593900391469
Arches,0.01659593900391469
animaubot,0.01659593900391469
animall,0.01659593900391469
ConclusionJ,0.01659593900391469
animalj,0.01659593900391469
Haudricourt,0.01659593900391469
animaliser,0.01659593900391469
albatros,0.01659593900391469
Oshima,0.01659593900391469
assumon,0.01659593900391469
Bernd,0.01659593900391469
Evoquer,0.01659593900391469
Zootechnosémiotique,0.01659593900391469
avorté,0.01659593900391469
Monkey,0.01659593900391469
animalisation,0.01659593900391469
animobilier,0.01659593900391469
résulter,0.016557629637702822
insister,0.016493140908446047
ider,0.016097381914663447
donner,0.016057861193329147
estime,0.01601131900931955
chercher,0.015997736160371825
impliquer,0.01598644635431196
posséder,0.015817376323265617
Alphonse,0.01577883363679472
américano,0.01577883363679472
anthropomorphisation,0.01577883363679472
désagrément,0.01577883363679472
anthropomorphisme,0.01577883363679472
baleine,0.01577883363679472
Campion,0.01577883363679472
kea,0.01577883363679472
approchent,0.01577883363679472
phoque,0.01577883363679472
perchoir,0.01577883363679472
Mia,0.01577883363679472
renard,0.01577883363679472
aquarium,0.01577883363679472
ahurir,0.01577883363679472
àdir,0.01577883363679472
