,0
intérêt,0.32150365731371516
instance,0.21636595311457382
consultatif,0.18430332752902778
public,0.18292137041795528
participatif,0.16954444520479198
néocorporatist,0.1460754968541474
citoyen,0.13618067666480196
ambition,0.12329576258045863
consultation,0.12241922423356212
politique,0.1221432138625185
urbain,0.11961629160672871
tantôt,0.11264777659931402
ambiguïté,0.10890399068024663
jeu,0.10767608114194668
légitimité,0.10629951338392417
mobiliser,0.10486029955482641
soumettre,0.10484753967430792
expertise,0.10361725149962095
intermédiaire,0.10287491224732007
parole,0.10130793788161606
espace,0.09843916983414516
influence,0.09743292651881351
corps,0.08968546768843651
ouvert,0.08435824301278115
transparence,0.08282996720290518
contradictoire,0.08122412780734783
affirmation,0.08047023267444393
Pollard,0.07682000113445714
inclusive,0.07682000113445714
néocorporatismen,0.07682000113445714
officielpour,0.07682000113445714
missioncette,0.07682000113445714
local,0.07411238816558259
prétendumer,0.0730377484270737
inlassable,0.0730377484270737
néocorporatisme,0.0730377484270737
néocorporatiste,0.0730377484270737
régulatrice,0.0730377484270737
Affirmer,0.0730377484270737
dissymétrie,0.06827267355415924
groupe,0.06709375057001023
Talpin,0.06657194471705707
tirailler,0.06657194471705707
experte,0.06657194471705707
démocratique,0.06552685885808916
élaboration,0.06544412539259149
cruciau,0.06513399897410029
organiser,0.06493549827755693
démocratie,0.06455747895675772
autorité,0.06432280459338541
policer,0.06388839371442391
ambiguïter,0.06278969200967363
tension,0.06275788093637512
repose,0.06275788093637512
éclaté,0.06180686984414262
faut,0.06180686984414262
double,0.06092134691918108
saisine,0.06091779905013993
repositionner,0.06091779905013993
nomm,0.06010614100704046
huis,0.06010614100704046
audible,0.06010614100704046
alibi,0.06010614100704046
désespérer,0.05935948798622424
rôle,0.05906350190048709
dialogue,0.05872394350968052
attendu,0.05802461713675917
concurrente,0.056857072440962254
juxtaposition,0.05632388829965701
tenable,0.05632388829965701
corporation,0.05632388829965701
participation,0.056096476012554866
hypothétique,0.055819539368168566
composent,0.055819539368168566
standardisation,0.055341066134126
divergent,0.055341066134126
tenu,0.055341066134126
territoire,0.055101786949871924
adjoindre,0.0540373411665103
clarté,0.0540373411665103
rhétorique,0.05325954226384471
entrainer,0.05325954226384471
facilit,0.05325954226384471
professionnaliser,0.05289368427620763
Julie,0.05289368427620763
postur,0.05254163559227356
routine,0.05254163559227356
soi,0.05254163559227356
non,0.0522251678581958
échange,0.05186353546278175
porte,0.05146909443013615
Julien,0.051252943960623666
sortant,0.05095678629439067
reconsidérer,0.05095678629439067
il,0.05091351796646617
impasse,0.050669742632739864
nuire,0.050669742632739864
débarrasser,0.05039126873094563
lobbying,0.05039126873094563
consensuel,0.05012086768378577
examen,0.04960250194583154
jouer,0.04919379376385161
générateur,0.04911143156882418
nécessit,0.04887526242410938
analyse,0.04802215717176251
conseil,0.047573356968636946
exact,0.04757153745649369
clore,0.047370923639679555
managérial,0.047370923639679555
industriel,0.04732166524711666
discret,0.046982193103726824
place,0.04691195650277126
trop,0.04608248759727449
trancher,0.04590466775982541
incapable,0.04573658784405045
format,0.04573658784405045
pouss,0.045571482950768495
peiner,0.045571482950768495
échelle,0.045253179250048466
relèv,0.04509300971672594
flou,0.04509300971672594
débat,0.044810933573010546
spécialité,0.04478714025060705
prise,0.04467485444384412
entre,0.04434635669590972
dialoguer,0.044063662851520205
intercommunal,0.04392546502092902
controverse,0.04392546502092902
sort,0.043392280879623775
suggérer,0.043263614247315375
déboucher,0.043011485846444646
convergence,0.04288793194813533
difficilemer,0.04264562785880756
face,0.04233338571695284
pluralité,0.042179121506390575
déficit,0.0420660512377686
vague,0.041843941150647726
constituer,0.041814464716940926
exclusivement,0.041626996885587624
compromis,0.041520387920090086
refléter,0.04131075700934249
sérieux,0.04120768211585077
pérenne,0.041105733746477066
injonction,0.04100488754322361
ordinaire,0.040905119929662934
éventuel,0.04051638939371022
promoteur,0.04032793484381148
sélectionner,0.04032793484381148
substituer,0.039872811266385706
multiplication,0.03935444552843148
complémentarité,0.039187866406312354
fragile,0.038783985881189885
remplir,0.03870526657058879
paradoxe,0.038549793255806104
immobilier,0.03832133654059043
alternatif,0.03832133654059043
enseignant,0.03817208242928354
officiel,0.03817208242928354
utilité,0.03817208242928354
autoriser,0.038098341468605974
influencer,0.03788055298589311
demeure,0.03788055298589311
négociation,0.0376677334977951
séparer,0.03705694339349976
puissant,0.03660807824163435
répartition,0.036483700626343804
assumer,0.03642212823811871
enrichir,0.036300189469749854
pleinement,0.036239812670309145
acteur,0.03610736084201195
conduite,0.03571331779637396
repenser,0.03548853142665037
m3,0.03537813744063112
procédure,0.03494917989143598
service,0.03475294150079306
commission,0.034146260193657296
opposition,0.03405058568369359
urbaine,0.0339088890409584
régulièrement,0.03386213113379486
gouvernement,0.03363179392609267
filière,0.03349627314615777
pression,0.033407007556369085
représentant,0.03331858809864573
inviter,0.03327469068611632
réellement,0.0331011380902502
gouvernance,0.03301555782991531
exercer,0.03293075558271274
soin,0.0328467173301008
supposer,0.03280498042401721
avis,0.03263987553073526
ville,0.032617598957944895
permanent,0.032599051907820226
pouvoir,0.03236357492294456
implication,0.03227873947837886
existence,0.032045522757473424
tirer,0.031780607263513574
tête,0.03170627871926693
série,0.03159588473324766
distance,0.03148678193457184
expert,0.03141474927587649
défendre,0.03141474927587649
métropolitain,0.031201929787778478
maintenir,0.031062700591942424
civil,0.030959625698450708
laisser,0.030857677329077002
statut,0.03055835166045397
regrouper,0.030428340037450746
revue,0.030268332976310142
soutien,0.030017896916327187
confronter,0.0299870599198219
