,0
droit,3.393529132587626
eau,2.0570875188063176
prison,1.2397730518224455
loi,1.0564167883100748
juridique,1.0544410289933666
détenu,0.9428004496345763
fête,0.8235342592872176
valeur,0.7246965832204295
justice,0.7178277886496277
être,0.707358199345075
public,0.6123154239624433
social,0.5946133691772841
français,0.5687524917065265
enfant,0.5491166297225746
discrimination,0.5478170026007113
étranger,0.5452286381173905
détention,0.5398243729406857
citoyenneté,0.5230579646507787
pénitentiaire,0.4774275283348234
santé,0.470883186301915
pays,0.46182666966741104
pourcent,0.4542517881198941
peine,0.4524291458764643
homme,0.4484450396844729
exclusion,0.43717692815016934
politique,0.4242067931598266
défenseur,0.41961013112280116
nationalité,0.4041062605350788
il,0.4008432238924503
cimade,0.39929057657512235
condition,0.397548776157347
alimentaire,0.3938060712892887
sanctionner,0.3840880810112655
Lyon,0.3778840120552885
génération,0.3772334441343394
citoyen,0.3759502276921644
personne,0.375734328061866
agricole,0.3745059304308156
France,0.3695226901998081
question,0.3674844057363936
falloir,0.36271577549164646
rapport,0.36149889218459286
débat,0.36144158248949715
délit,0.36100995843282047
sécurité,0.35973237981606615
faire,0.3583945620790829
environnement,0.3519543912598731
bien,0.34872799625133927
pénal,0.3480109642992908
autorité,0.34612629483612634
potable,0.3458616858636452
mettre,0.3410754367126724
évolution,0.33431704962458
grand,0.33164001288395795
déclaration,0.33030633945524235
gâchis,0.3258787594922776
jeune,0.3254998143903825
collectivité,0.32194426531241643
société,0.32096011613040926
civil,0.31982662408140955
banlieue,0.31338085960091167
tribunal,0.3117802839976169
cycle,0.3091809693120648
protection,0.30890965661014885
etat,0.30883401785704767
accès,0.30631394371878107
point,0.3033095054747224
commun,0.29571927006324117
origine,0.2957064077417154
comité,0.29505111734608164
espace,0.29025168125243034
2021,0.28952914663936685
pouvoir,0.28559114965392185
non,0.2853819782036629
année,0.28534327537542997
contre,0.28483861245858355
injustic,0.28373392739846504
réponse,0.28365599342881026
pratique,0.2821481189362034
qualité,0.2818362141144607
européen,0.27842693150124126
BVA,0.27418270540866174
détenir,0.27367982801055984
Europe,0.26835196549430274
conférence,0.2674343038869752
famille,0.2667680849995986
racial,0.2663148316661351
préfecture,0.26484390137343383
sanction,0.26200996964242745
action,0.2608991382752777
cas,0.25945657591898164
magistrat,0.2575693366696099
enquête,0.2571962496381546
Justice,0.25633238202736225
air,0.2547993954279442
avocat,0.2541777676203164
définition,0.2507748930969526
collectif,0.25077174113564704
territorial,0.25038797730911744
m3,0.2494689245787883
exemple,0.2491632275664759
immigré,0.2476557324172021
Brelot,0.24701832384192732
élodie,0.24701832384192732
femme,0.24615332104200227
synthèse,0.2455981823542171
vivre,0.24430879369716382
usage,0.2439289793366944
sentiment,0.2390523246810293
nouveau,0.23789215175402878
prisonnier,0.23725704026409083
économique,0.23490101170946376
répondre,0.2326961908942463
service,0.23190934902119195
assurerces,0.23159253108096609
obligation,0.2308318336959634
sortie,0.22996785236813833
recevoir,0.229685771780823
territoire,0.22926464927600618
exprimer,0.22651023837177842
issu,0.22635292845298688
adulte,0.22573621186527057
convention,0.22553614609492184
médecine,0.22504137763463258
mort,0.2229861199043155
carcéral,0.22175808402392755
victimes,0.22019001266447166
problème,0.2193583822442897
éthique,0.21869810152710054
acteur,0.2179134001101023
défi,0.21787898224740865
ressource,0.21743411312157507
agriculture,0.21545678421680198
reconnaître,0.2151630249927418
carte,0.2150552003220258
marché,0.21472182317019403
PAIT,0.214405800786766
pait,0.214405800786766
prendre,0.2132966806248717
Cimade,0.2131168956154285
minorité,0.21310855713097981
fonction,0.2117952279195907
garantir,0.21152548225855716
temps,0.21143286437629916
interterritorial,0.21029639152842916
travail,0.2102506095596801
évoluer,0.21006315664195122
champ,0.20922974890686175
ordre,0.20908250721817231
judiciaire,0.20903696057392684
individuel,0.20848077537366494
Généraux,0.20808084711582536
particulier,0.20664637231413346
état,0.20645998520590558
voyage,0.2062904646024251
agir,0.20626380047978124
expulser,0.20594776702798107
concerner,0.2055650072740397
taux,0.2055381793829627
1980,0.20391587547376216
suivre,0.20347037069442026
dossier,0.20346603622835885
2000,0.20284722725701118
indemnisation,0.20259439067503526
indigne,0.201877518826368
vous,0.20178524894515076
malades,0.20069727868163156
décarcération,0.20064398066616088
création,0.20063262388477476
liberté,0.20017749486179404
reconnaissance,0.20016805039428803
vie,0.19974484463079847
réclamation,0.19871519154069128
opinion,0.19850700268601454
défense,0.19811263377602414
procès,0.19809297229265607
demander,0.1980541954525421
métropole,0.1974773150258019
etc,0.19732100173610667
savoir,0.1964019247225902
assuranc,0.19636224237272049
situation,0.19574349877697245
2019,0.19472965840376882
respecter,0.19401510784442866
2020,0.19280939861416585
ligne,0.1922304682216407
bon,0.19106963874894506
européenn,0.19085226654226517
surpeuplement,0.19076522216723155
alertent,0.19076522216723155
exister,0.19064469036604711
jour,0.1905062439365215
fondre,0.18987050222172352
risque,0.18734049667469935
2003,0.18711126861989397
an,0.18637501467536724
viser,0.1857562204549695
cause,0.18562290159418507
acte,0.1855983941357143
raison,0.18496122140158597
dépeupler,0.18375613146770706
octobre,0.18359055973070698
climatique,0.1827473324417102
traitement,0.1826255971641969
Decourt,0.18194200361773036
niveaude,0.18145560563130916
2018,0.18069914000173515
questionnaire,0.17991362333130642
général,0.17981743846953607
changement,0.17981013398531195
scolaire,0.17905076533564976
affaire,0.17881054860281487
2004,0.1784316288428458
hui,0.17818941840571423
demande,0.17812622575152104
aujourd,0.17796339865684674
exposé,0.17765764875889584
voir,0.17690754172678907
partir,0.1763419363771606
