,source,target,values
2916,Cédric POLÈRE,Christine OLM,1.0
2925,Cédric POLÈRE,Pierre GROSDEMOUGE,3.0
3081,Cédric POLÈRE,DPDP - DIRECTION DE LA PROSPECTIVE ET DU DIALOGUE PUBLIC,1.0
3117,Cédric POLÈRE,Bertrand LABASSE,1.0
3172,Cédric POLÈRE,Kim SAKHO,5.0
3366,Ludovic VIÉVARD,Anne-Caroline JAMBAUD,5.0
3367,Ludovic VIÉVARD,Benjamin  PRADEL,2.0
3368,Ludovic VIÉVARD,Boris CHABANEL,7.0
3369,Ludovic VIÉVARD,Catherine DEBRAND,8.0
3370,Ludovic VIÉVARD,Emile HOOGE,9.0
3371,Ludovic VIÉVARD,Cédric POLÈRE,13.0
3373,Ludovic VIÉVARD,Eve DENJEAN,9.0
3381,Ludovic VIÉVARD,Julie JEAMMAUD,15.0
3382,Ludovic VIÉVARD,Jean-Marc BERTHET,3.0
3384,Ludovic VIÉVARD,Caroline JANUEL,10.0
3385,Ludovic VIÉVARD,Marianne CHOUTEAU,21.0
3387,Ludovic VIÉVARD,Nicolas LEPRÊTRE,6.0
3388,Ludovic VIÉVARD,Anouk JORDAN,7.0
3389,Ludovic VIÉVARD,Sylvie  MAURIS-DEMOURIOUX,27.0
3390,Ludovic VIÉVARD,Julien CASALS,7.0
3397,Ludovic VIÉVARD,François MAYSSAL,25.0
3399,Ludovic VIÉVARD,Catherine FORET,22.0
3408,Ludovic VIÉVARD,Yoan OLLIVIER,25.0
3410,Ludovic VIÉVARD,Sebastian ROCHE,3.0
3415,Ludovic VIÉVARD,Jean-Loup MOLIN,5.0
3420,Ludovic VIÉVARD,DPDP -  DIRECTION DE LA PROSPECTIVE ET DU DIALOGUE PUBLIC,5.0
3421,Ludovic VIÉVARD,Lucas PIESSAT,6.0
3422,Ludovic VIÉVARD,Gauthier BRAVAIS,6.0
3426,Ludovic VIÉVARD,Margot BALDASSI,5.0
3430,Ludovic VIÉVARD,Quentin ZARAGORI,5.0
3432,Ludovic VIÉVARD,Pierre-Alain FOUR,20.0
3435,Ludovic VIÉVARD,Valérie DEFOY,17.0
3459,Ludovic VIÉVARD,Justin FOLLENFANT,2.0
3468,Ludovic VIÉVARD,Marie Clémence LE PAPE,2.0
3469,Ludovic VIÉVARD,Maël DIEUDONNÉ,2.0
3477,Ludovic VIÉVARD,Christine OLM,1.0
3486,Ludovic VIÉVARD,Pierre GROSDEMOUGE,3.0
3504,Ludovic VIÉVARD,Stéphane AUTRAN,1.0
3544,Ludovic VIÉVARD,Julie GAYRAL,2.0
3548,Ludovic VIÉVARD,Camille DUTHY,2.0
3556,Ludovic VIÉVARD,Malou ALLAGNAT,2.0
3599,Ludovic VIÉVARD,Julien THIBURCE,2.0
3620,Ludovic VIÉVARD,Yoann PUPAT,6.0
3642,Ludovic VIÉVARD,DPDP - DIRECTION DE LA PROSPECTIVE ET DU DIALOGUE PUBLIC,3.0
3733,Ludovic VIÉVARD,Kim SAKHO,5.0
3808,Ludovic VIÉVARD,Laura DESMARIS,1.0
3809,Ludovic VIÉVARD,Marc URHY,1.0
3928,Eve DENJEAN,Benjamin  PRADEL,2.0
3929,Eve DENJEAN,Boris CHABANEL,9.0
3930,Eve DENJEAN,Catherine DEBRAND,12.0
3931,Eve DENJEAN,Emile HOOGE,17.0
3932,Eve DENJEAN,Cédric POLÈRE,10.0
3933,Eve DENJEAN,Ludovic VIÉVARD,9.0
3942,Eve DENJEAN,Julie JEAMMAUD,7.0
3945,Eve DENJEAN,Caroline JANUEL,9.0
3949,Eve DENJEAN,Anouk JORDAN,4.0
3950,Eve DENJEAN,Sylvie  MAURIS-DEMOURIOUX,7.0
3951,Eve DENJEAN,Julien CASALS,4.0
3985,Eve DENJEAN,Caroline HAMON,5.0
4016,Eve DENJEAN,Sophie KELLER,10.0
4105,Eve DENJEAN,Julie GAYRAL,4.0
4109,Eve DENJEAN,Camille DUTHY,2.0
4750,Philippe DUJARDIN,Jocelyne BEARD,2.0
5051,Aurélien BOUTAUD,Boris CHABANEL,19.0
5054,Aurélien BOUTAUD,Cédric POLÈRE,10.0
5061,Aurélien BOUTAUD,Claire HARPET,4.0
5062,Aurélien BOUTAUD,Philippe JURY,5.0
5078,Aurélien BOUTAUD,Geoffroy BING,1.0
5092,Aurélien BOUTAUD,Arthur GRIMONPONT,13.0
5093,Aurélien BOUTAUD,Sebastian ROCHE,10.0
5094,Aurélien BOUTAUD,Manon LOISEL,27.0
5095,Aurélien BOUTAUD,Hélène DELHAY,27.0
5113,Aurélien BOUTAUD,Quentin ZARAGORI,1.0
5342,Aurélien BOUTAUD,Natacha GONDRAN,6.0
5367,Aurélien BOUTAUD,Giorgio   DE AMBROGIO,2.0
6200,Nicolas NOVA,Geoffroy BING,1.0
6201,Nicolas NOVA,Lionel GASTINE,3.0
