,source,target,values
34805,Matthieu BOURY,Sylvie  MAURIS-DEMOURIOUX,1.0
34806,Matthieu BOURY,Julien CASALS,3.0
34845,Matthieu BOURY,Gaspard LANDEL,1.0
34846,Matthieu BOURY,Quentin ZARAGORI,3.0
34871,Matthieu BOURY,Sophie KELLER,1.0
35139,Matthieu BOURY,Clara PERRIN,2.0
35367,Gaspard LANDEL,Julien CASALS,1.0
35372,Gaspard LANDEL,Geoffroy BING,2.0
35405,Gaspard LANDEL,Matthieu BOURY,1.0
35407,Gaspard LANDEL,Quentin ZARAGORI,1.0
35904,Quentin ZARAGORI,Anne-Caroline JAMBAUD,5.0
35907,Quentin ZARAGORI,Catherine DEBRAND,4.0
35909,Quentin ZARAGORI,Cédric POLÈRE,6.0
35910,Quentin ZARAGORI,Ludovic VIÉVARD,5.0
35913,Quentin ZARAGORI,Aurélien BOUTAUD,1.0
35925,Quentin ZARAGORI,Nicolas LEPRÊTRE,7.0
35927,Quentin ZARAGORI,Sylvie  MAURIS-DEMOURIOUX,5.0
35928,Quentin ZARAGORI,Julien CASALS,9.0
35933,Quentin ZARAGORI,Geoffroy BING,1.0
35953,Quentin ZARAGORI,Jean-Loup MOLIN,5.0
35964,Quentin ZARAGORI,Margot BALDASSI,5.0
35966,Quentin ZARAGORI,Matthieu BOURY,3.0
35967,Quentin ZARAGORI,Gaspard LANDEL,1.0
35992,Quentin ZARAGORI,Brice DURY,6.0
35993,Quentin ZARAGORI,Sophie KELLER,7.0
35994,Quentin ZARAGORI,Frédérique SONNET,6.0
36082,Quentin ZARAGORI,Julie GAYRAL,4.0
36261,Quentin ZARAGORI,Clara PERRIN,2.0
36271,Quentin ZARAGORI,Kim SAKHO,5.0
36624,Franck TANNERY,Paul BOINO,1.0
37026,Pierre-Alain FOUR,Anne-Caroline JAMBAUD,1.0
37030,Pierre-Alain FOUR,Emile HOOGE,1.0
37031,Pierre-Alain FOUR,Cédric POLÈRE,3.0
37032,Pierre-Alain FOUR,Ludovic VIÉVARD,20.0
37045,Pierre-Alain FOUR,Marianne CHOUTEAU,17.0
37049,Pierre-Alain FOUR,Sylvie  MAURIS-DEMOURIOUX,20.0
37059,Pierre-Alain FOUR,Catherine FORET,17.0
37070,Pierre-Alain FOUR,Sebastian ROCHE,3.0
37095,Pierre-Alain FOUR,Valérie DEFOY,17.0
37115,Pierre-Alain FOUR,Sophie KELLER,1.0
37128,Pierre-Alain FOUR,Marie Clémence LE PAPE,2.0
37129,Pierre-Alain FOUR,Maël DIEUDONNÉ,2.0
37164,Pierre-Alain FOUR,Stéphane AUTRAN,1.0
37655,Béatrice MAURINES,Lilian PELLEGRINO,3.0
38215,Lilian PELLEGRINO,Béatrice MAURINES,3.0
38715,Valérie DEFOY,Ludovic VIÉVARD,17.0
38728,Valérie DEFOY,Marianne CHOUTEAU,17.0
38732,Valérie DEFOY,Sylvie  MAURIS-DEMOURIOUX,17.0
38742,Valérie DEFOY,Catherine FORET,17.0
38775,Valérie DEFOY,Pierre-Alain FOUR,17.0
38847,Valérie DEFOY,Stéphane AUTRAN,1.0
41027,Florent CHEVREAU,Danielle GALEA,2.0
41028,Florent CHEVREAU,Carine PRADELLES,2.0
41029,Florent CHEVREAU,Maïder LAUSSUCQ,2.0
41587,Danielle GALEA,Florent CHEVREAU,2.0
41589,Danielle GALEA,Carine PRADELLES,2.0
41590,Danielle GALEA,Maïder LAUSSUCQ,2.0
42148,Carine PRADELLES,Florent CHEVREAU,2.0
42149,Carine PRADELLES,Danielle GALEA,2.0
42151,Carine PRADELLES,Maïder LAUSSUCQ,2.0
42709,Maïder LAUSSUCQ,Florent CHEVREAU,2.0
42710,Maïder LAUSSUCQ,Danielle GALEA,2.0
42711,Maïder LAUSSUCQ,Carine PRADELLES,2.0
47953,Stéphanie BEAUCHENE,Corinne HOOGE,1.0
48033,Stéphanie BEAUCHENE,Philippe JARREAU,1.0
49432,Brice DURY,Quentin ZARAGORI,6.0
49457,Brice DURY,Sophie KELLER,6.0
49458,Brice DURY,Frédérique SONNET,6.0
49929,Sophie KELLER,Anne-Caroline JAMBAUD,1.0
49933,Sophie KELLER,Emile HOOGE,1.0
49936,Sophie KELLER,Eve DENJEAN,10.0
49952,Sophie KELLER,Sylvie  MAURIS-DEMOURIOUX,1.0
49958,Sophie KELLER,Geoffroy BING,12.0
49960,Sophie KELLER,François MAYSSAL,3.0
49991,Sophie KELLER,Matthieu BOURY,1.0
49993,Sophie KELLER,Quentin ZARAGORI,7.0
49995,Sophie KELLER,Pierre-Alain FOUR,1.0
50017,Sophie KELLER,Brice DURY,6.0
50019,Sophie KELLER,Frédérique SONNET,6.0
50025,Sophie KELLER,Clément JOURDAN,3.0
50350,Sophie KELLER,Matias GOMEZ,1.0
50554,Frédérique SONNET,Quentin ZARAGORI,6.0
50578,Frédérique SONNET,Brice DURY,6.0
50579,Frédérique SONNET,Sophie KELLER,6.0
51143,Stéphanie PORNIN,Cécile PEETERS,2.0
51703,Cécile PEETERS,Stéphanie PORNIN,2.0
52179,Justin FOLLENFANT,Ludovic VIÉVARD,2.0
52188,Justin FOLLENFANT,Julie JEAMMAUD,2.0
52267,Justin FOLLENFANT,Martin FUSTER,6.0
52406,Justin FOLLENFANT,Julien THIBURCE,2.0
52827,Martin FUSTER,Justin FOLLENFANT,6.0
53316,Perrine TURGAULT,Nicolas LEPRÊTRE,3.0
53877,Clément JOURDAN,Nicolas LEPRÊTRE,4.0
53885,Clément JOURDAN,Geoffroy BING,3.0
53887,Clément JOURDAN,François MAYSSAL,3.0
53945,Clément JOURDAN,Sophie KELLER,3.0
54515,Maylis NOUVELLON,Noémie COUILLARD,2.0
55075,Noémie COUILLARD,Maylis NOUVELLON,2.0
57228,Marie Clémence LE PAPE,Ludovic VIÉVARD,2.0
57266,Marie Clémence LE PAPE,Sebastian ROCHE,2.0
57288,Marie Clémence LE PAPE,Pierre-Alain FOUR,2.0
57325,Marie Clémence LE PAPE,Maël DIEUDONNÉ,2.0
57789,Maël DIEUDONNÉ,Ludovic VIÉVARD,2.0
57827,Maël DIEUDONNÉ,Sebastian ROCHE,2.0
57849,Maël DIEUDONNÉ,Pierre-Alain FOUR,2.0
57885,Maël DIEUDONNÉ,Marie Clémence LE PAPE,2.0
58907,Arnaud FLORENTIN,Boris CHABANEL,4.0
60697,François ROBERT,Loïc BONNEVAL,1.0
61257,Loïc BONNEVAL,François ROBERT,1.0
62274,Christine OLM,Catherine DEBRAND,1.0
62275,Christine OLM,Emile HOOGE,1.0
62276,Christine OLM,Cédric POLÈRE,1.0
62277,Christine OLM,Ludovic VIÉVARD,1.0
62292,Christine OLM,Nicolas LEPRÊTRE,1.0
62294,Christine OLM,Sylvie  MAURIS-DEMOURIOUX,1.0
62391,Christine OLM,Pierre GROSDEMOUGE,1.0
67322,Pierre GROSDEMOUGE,Boris CHABANEL,1.0
67323,Pierre GROSDEMOUGE,Catherine DEBRAND,1.0
67324,Pierre GROSDEMOUGE,Emile HOOGE,1.0
67325,Pierre GROSDEMOUGE,Cédric POLÈRE,3.0
67326,Pierre GROSDEMOUGE,Ludovic VIÉVARD,3.0
67335,Pierre GROSDEMOUGE,Julie JEAMMAUD,2.0
67336,Pierre GROSDEMOUGE,Jean-Marc BERTHET,2.0
67341,Pierre GROSDEMOUGE,Nicolas LEPRÊTRE,1.0
67342,Pierre GROSDEMOUGE,Anouk JORDAN,2.0
67343,Pierre GROSDEMOUGE,Sylvie  MAURIS-DEMOURIOUX,1.0
67431,Pierre GROSDEMOUGE,Christine OLM,1.0
67510,Pierre GROSDEMOUGE,Malou ALLAGNAT,2.0
67596,Pierre GROSDEMOUGE,DPDP - DIRECTION DE LA PROSPECTIVE ET DU DIALOGUE PUBLIC,3.0
68003,Irène GAILLARD,Vanina MOLLO,3.0
68563,Vanina MOLLO,Irène GAILLARD,3.0
70251,Emmanuelle HENRY,Emmanuel THIMONIER-ROUZET,1.0
70811,Emmanuel THIMONIER-ROUZET,Emmanuelle HENRY,1.0
71937,Paul COLONNA,Egizio VALCESCHINI,3.0
72497,Egizio VALCESCHINI,Paul COLONNA,3.0
74666,Caroline RICHEMONT,Eddy MAAROUFI,6.0
75231,Léa PEYRON,Quentin VERNETTE,4.0
77424,Stéphane AUTRAN,Ludovic VIÉVARD,1.0
77437,Stéphane AUTRAN,Marianne CHOUTEAU,1.0
77441,Stéphane AUTRAN,Sylvie  MAURIS-DEMOURIOUX,1.0
77451,Stéphane AUTRAN,Catherine FORET,1.0
77484,Stéphane AUTRAN,Pierre-Alain FOUR,1.0
77487,Stéphane AUTRAN,Valérie DEFOY,1.0
82053,Maéva BIGOT,Mélanie GAT,8.0
82054,Maéva BIGOT,Diane GEFFROY,8.0
82613,Mélanie GAT,Maéva BIGOT,8.0
82615,Mélanie GAT,Diane GEFFROY,8.0
83174,Diane GEFFROY,Maéva BIGOT,8.0
83175,Diane GEFFROY,Mélanie GAT,8.0
83739,Pierre DOMMERGUES,Christine DELFOUR,2.0
84299,Christine DELFOUR,Pierre DOMMERGUES,2.0
84863,Laure ISNARD,Bernard BARRAQUE,1.0
85423,Bernard BARRAQUE,Laure ISNARD,1.0
85862,Brigitte YVRAY-DANGUIS,Geoffroy BING,1.0
89264,Paul BOINO,Franck TANNERY,1.0
89630,Paul BOINO,Marie-Clotilde MEILLERAND,1.0
94979,Mónica COSTA,Paulo Manuel COSTA,1.0
95539,Paulo Manuel COSTA,Mónica COSTA,1.0
96507,Dann METTIDJI,Julie JEAMMAUD,3.0
96725,Dann METTIDJI,Julien THIBURCE,2.0
99859,Julie GAYRAL,Benjamin  PRADEL,2.0
99861,Julie GAYRAL,Catherine DEBRAND,4.0
99862,Julie GAYRAL,Emile HOOGE,3.0
99864,Julie GAYRAL,Ludovic VIÉVARD,2.0
99865,Julie GAYRAL,Eve DENJEAN,4.0
99879,Julie GAYRAL,Nicolas LEPRÊTRE,2.0
99882,Julie GAYRAL,Julien CASALS,4.0
99922,Julie GAYRAL,Quentin ZARAGORI,4.0
100040,Julie GAYRAL,Camille DUTHY,2.0
100226,Julie GAYRAL,Hervé CHAYGNEAUD-DUPUY,3.0
102103,Camille DUTHY,Benjamin  PRADEL,2.0
102108,Camille DUTHY,Ludovic VIÉVARD,2.0
102109,Camille DUTHY,Eve DENJEAN,2.0
102126,Camille DUTHY,Julien CASALS,2.0
102280,Camille DUTHY,Julie GAYRAL,2.0
106596,Malou ALLAGNAT,Ludovic VIÉVARD,2.0
106606,Malou ALLAGNAT,Jean-Marc BERTHET,2.0
106710,Malou ALLAGNAT,Pierre GROSDEMOUGE,2.0
106866,Malou ALLAGNAT,DPDP - DIRECTION DE LA PROSPECTIVE ET DU DIALOGUE PUBLIC,2.0
106876,Malou ALLAGNAT,Angela  LANTERI,4.0
107905,Adèle SEYRIG,Jeanne CARTILLIER,1.0
108465,Jeanne CARTILLIER,Adèle SEYRIG,1.0
109591,Béatrice CHARRE,Mireille LEMAHIEU,2.0
110151,Mireille LEMAHIEU,Béatrice CHARRE,2.0
110715,Gilles PINSON,Lionel ARNAUD,1.0
110730,Gilles PINSON,Christelle MOREL-JOURNEL,2.0
110731,Gilles PINSON,Attila BASKURT,1.0
110732,Gilles PINSON,Jean-Yves  TOUSSAINT,1.0
110943,Gilles PINSON,Deborah GALIMBERTI,1.0
110967,Gilles PINSON,Rémi DORMOIS,1.0
111275,Lionel ARNAUD,Gilles PINSON,1.0
115023,CCSPL  COMMISSION CONSULTATIVE DES SERVICES PUBLICS LOCAUX DU GRAND LYON,Caroline JANUEL,2.0
116335,Martine CHANAL,Benoit EYRAUD,1.0
116895,Benoit EYRAUD,Martine CHANAL,1.0
119690,Christelle MOREL-JOURNEL,Gilles PINSON,2.0
119707,Christelle MOREL-JOURNEL,Attila BASKURT,1.0
119708,Christelle MOREL-JOURNEL,Jean-Yves  TOUSSAINT,1.0
120251,Attila BASKURT,Gilles PINSON,1.0
120267,Attila BASKURT,Christelle MOREL-JOURNEL,1.0
120269,Attila BASKURT,Jean-Yves  TOUSSAINT,1.0
120812,Jean-Yves  TOUSSAINT,Gilles PINSON,1.0
120828,Jean-Yves  TOUSSAINT,Christelle MOREL-JOURNEL,1.0
120829,Jean-Yves  TOUSSAINT,Attila BASKURT,1.0
126246,Pierre HOUSSAIS,Nicolas LEPRÊTRE,3.0
126274,Pierre HOUSSAIS,Jean-Loup MOLIN,3.0
127013, Maryame AMAROUCHE,Marie SENG,1.0
127014, Maryame AMAROUCHE,Chloé SERME MORIN,1.0
127015, Maryame AMAROUCHE,Justine SWORDY-BORIE,1.0
127016, Maryame AMAROUCHE,Selene VILLALEJO COTA,1.0
127573,Marie SENG, Maryame AMAROUCHE,1.0
127575,Marie SENG,Chloé SERME MORIN,1.0
127576,Marie SENG,Justine SWORDY-BORIE,1.0
127577,Marie SENG,Selene VILLALEJO COTA,1.0
128134,Chloé SERME MORIN, Maryame AMAROUCHE,1.0
128135,Chloé SERME MORIN,Marie SENG,1.0
128137,Chloé SERME MORIN,Justine SWORDY-BORIE,1.0
128138,Chloé SERME MORIN,Selene VILLALEJO COTA,1.0
128695,Justine SWORDY-BORIE, Maryame AMAROUCHE,1.0
128696,Justine SWORDY-BORIE,Marie SENG,1.0
128697,Justine SWORDY-BORIE,Chloé SERME MORIN,1.0
128699,Justine SWORDY-BORIE,Selene VILLALEJO COTA,1.0
129256,Selene VILLALEJO COTA, Maryame AMAROUCHE,1.0
129257,Selene VILLALEJO COTA,Marie SENG,1.0
129258,Selene VILLALEJO COTA,Chloé SERME MORIN,1.0
129259,Selene VILLALEJO COTA,Justine SWORDY-BORIE,1.0
129823,Laura PANDELLE,Magali MARLIN,1.0
130383,Magali MARLIN,Laura PANDELLE,1.0
130719,Julien THIBURCE,Ludovic VIÉVARD,2.0
130728,Julien THIBURCE,Julie JEAMMAUD,2.0
130806,Julien THIBURCE,Justin FOLLENFANT,2.0
130885,Julien THIBURCE,Dann METTIDJI,2.0
133757,Xavier BRISBOIS,Pauline VAN LAERE,6.0
134317,Pauline VAN LAERE,Xavier BRISBOIS,6.0
136631,Pierre BRÉCHON,Jean-François TCHERNIA,1.0
137691,Françoise LORCERIE,Delphine CAVALLO,1.0
138251,Delphine CAVALLO,Françoise LORCERIE,1.0
138902,Alain HAYS,Richard CANTIN,1.0
139145,Sandra DECELLE,Catherine PANASSIER,2.0
139557,Sandra DECELLE,Anne PINCHART,2.0
141625,Adeline CHARVET,Charlotte VISAGE,1.0
142185,Charlotte VISAGE,Adeline CHARVET,1.0
142500,Yoann PUPAT,Ludovic VIÉVARD,6.0
142510,Yoann PUPAT,Jean-Marc BERTHET,1.0
142527,Yoann PUPAT,Catherine FORET,5.0
142936,Yoann PUPAT,Laura DESMARIS,1.0
142937,Yoann PUPAT,Marc URHY,1.0
146422,Juliette PINARD,Benjamin  PRADEL,3.0
146990,Jocelyne BEARD,Philippe DUJARDIN,2.0
147336,Jocelyne BEARD,Jean-Paul DUMONTIER,1.0
150401,Corinne HOOGE,Eddy MAAROUFI,5.0
150433,Corinne HOOGE,Stéphanie BEAUCHENE,1.0
150696,Corinne HOOGE,Philippe JARREAU,1.0
151741,Marc Antoine MESSER,Audrey PARVEX,1.0
151742,Marc Antoine MESSER,Yannick PITTON,1.0
151743,Marc Antoine MESSER,Lucie VERDURE,1.0
151744,Marc Antoine MESSER,Grégoire ROBIDA,1.0
151828,Marc Antoine MESSER,Diego MERMOUD-PLAZA,1.0
151829,Marc Antoine MESSER,Stephan UTZ,1.0
152301,Audrey PARVEX,Marc Antoine MESSER,1.0
152303,Audrey PARVEX,Yannick PITTON,1.0
152304,Audrey PARVEX,Lucie VERDURE,1.0
152305,Audrey PARVEX,Grégoire ROBIDA,1.0
152862,Yannick PITTON,Marc Antoine MESSER,1.0
152863,Yannick PITTON,Audrey PARVEX,1.0
152865,Yannick PITTON,Lucie VERDURE,1.0
152866,Yannick PITTON,Grégoire ROBIDA,1.0
153423,Lucie VERDURE,Marc Antoine MESSER,1.0
153424,Lucie VERDURE,Audrey PARVEX,1.0
153425,Lucie VERDURE,Yannick PITTON,1.0
153427,Lucie VERDURE,Grégoire ROBIDA,1.0
153984,Grégoire ROBIDA,Marc Antoine MESSER,1.0
153985,Grégoire ROBIDA,Audrey PARVEX,1.0
153986,Grégoire ROBIDA,Yannick PITTON,1.0
153987,Grégoire ROBIDA,Lucie VERDURE,1.0
154841,DPDP - DIRECTION DE LA PROSPECTIVE ET DU DIALOGUE PUBLIC,Cédric POLÈRE,1.0
154842,DPDP - DIRECTION DE LA PROSPECTIVE ET DU DIALOGUE PUBLIC,Ludovic VIÉVARD,3.0
154851,DPDP - DIRECTION DE LA PROSPECTIVE ET DU DIALOGUE PUBLIC,Julie JEAMMAUD,1.0
154852,DPDP - DIRECTION DE LA PROSPECTIVE ET DU DIALOGUE PUBLIC,Jean-Marc BERTHET,2.0
154854,DPDP - DIRECTION DE LA PROSPECTIVE ET DU DIALOGUE PUBLIC,Caroline JANUEL,1.0
154891,DPDP - DIRECTION DE LA PROSPECTIVE ET DU DIALOGUE PUBLIC,Lucas PIESSAT,1.0
154892,DPDP - DIRECTION DE LA PROSPECTIVE ET DU DIALOGUE PUBLIC,Gauthier BRAVAIS,1.0
154956,DPDP - DIRECTION DE LA PROSPECTIVE ET DU DIALOGUE PUBLIC,Pierre GROSDEMOUGE,3.0
155026,DPDP - DIRECTION DE LA PROSPECTIVE ET DU DIALOGUE PUBLIC,Malou ALLAGNAT,2.0
158485,Elise ROCHE,Guillaume SÉCHET,1.0
158486,Elise ROCHE,Emilie DEFOORT,1.0
159045,Guillaume SÉCHET,Elise ROCHE,1.0
159047,Guillaume SÉCHET,Emilie DEFOORT,1.0
159606,Emilie DEFOORT,Elise ROCHE,1.0
159607,Emilie DEFOORT,Guillaume SÉCHET,1.0
160636,Angela  LANTERI,Malou ALLAGNAT,4.0
164382,Natacha GONDRAN,Aurélien BOUTAUD,6.0
165229,Caroline MORICEAU,Laure PERRIN-VIDOZ,5.0
165789,Laure PERRIN-VIDOZ,Caroline MORICEAU,5.0
166353,Martin GUESPEREAU,Julie FABRE,1.0
166913,Julie FABRE,Martin GUESPEREAU,1.0
169464,Romain BEAUCHER,Yoan OLLIVIER,2.0
170849,Patrice AUBERTEL,Paul RAVEAUD,1.0
170850,Patrice AUBERTEL,Thérèse SPECTOR,1.0
171409,Paul RAVEAUD,Patrice AUBERTEL,1.0
171411,Paul RAVEAUD,Thérèse SPECTOR,1.0
171970,Thérèse SPECTOR,Patrice AUBERTEL,1.0
171971,Thérèse SPECTOR,Paul RAVEAUD,1.0
173031,Jean-François TCHERNIA,Pierre BRÉCHON,1.0
175037,Bertrand LABASSE,Cédric POLÈRE,1.0
176734,Ludovic ROGUET,Marianne CHOUTEAU,1.0
178400,Giorgio   DE AMBROGIO,Boris CHABANEL,2.0
178407,Giorgio   DE AMBROGIO,Aurélien BOUTAUD,2.0
180965,Jérôme SAINTE,Leila BOUTAMINE,1.0
181525,Leila BOUTAMINE,Jérôme SAINTE,1.0
184899,Mathieu BOSTYN,Henry GEORGE,1.0
185459,Henry GEORGE,Mathieu BOSTYN,1.0
188182,Richard CANTIN,Alain HAYS,1.0
188498,Magali TALANDIER,Boris CHABANEL,2.0
193546,Camille PERRET,Benjamin  PRADEL,3.0
195313,Philippe JARREAU,Stéphanie BEAUCHENE,1.0
195496,Philippe JARREAU,Corinne HOOGE,1.0
197263,Camille GUEZENNEC,Guillaume MALOCHET,1.0
197823,Guillaume MALOCHET,Camille GUEZENNEC,1.0
198856,Jean-Paul DUMONTIER,Jocelyne BEARD,1.0
200301,Clara PERRIN,Julien CASALS,2.0
200339,Clara PERRIN,Matthieu BOURY,2.0
200341,Clara PERRIN,Quentin ZARAGORI,2.0
201108,Diego MERMOUD-PLAZA,Marc Antoine MESSER,1.0
201197,Diego MERMOUD-PLAZA,Stephan UTZ,1.0
201669,Stephan UTZ,Marc Antoine MESSER,1.0
201757,Stephan UTZ,Diego MERMOUD-PLAZA,1.0
205887,Kim SAKHO,Anne-Caroline JAMBAUD,5.0
205892,Kim SAKHO,Cédric POLÈRE,5.0
205893,Kim SAKHO,Ludovic VIÉVARD,5.0
205908,Kim SAKHO,Nicolas LEPRÊTRE,5.0
205910,Kim SAKHO,Sylvie  MAURIS-DEMOURIOUX,5.0
205911,Kim SAKHO,Julien CASALS,5.0
205936,Kim SAKHO,Jean-Loup MOLIN,5.0
205947,Kim SAKHO,Margot BALDASSI,5.0
205951,Kim SAKHO,Quentin ZARAGORI,5.0
206452,Hervé CHAYGNEAUD-DUPUY,Emile HOOGE,3.0
206626,Hervé CHAYGNEAUD-DUPUY,Julie GAYRAL,3.0
208503,Hubert GUILLAUD,Manon MOLINS,2.0
208504,Hubert GUILLAUD,Marine ALBAREDE,2.0
209063,Manon MOLINS,Hubert GUILLAUD,2.0
209065,Manon MOLINS,Marine ALBAREDE,2.0
209624,Marine ALBAREDE,Hubert GUILLAUD,2.0
209625,Marine ALBAREDE,Manon MOLINS,2.0
210189,Céline ROZENBLAT,Patricia CICILLE,1.0
210749,Patricia CICILLE,Céline ROZENBLAT,1.0
214324,Anne FORNEROD,Anouk JORDAN,2.0
214325,Anne FORNEROD,Sylvie  MAURIS-DEMOURIOUX,2.0
220867,Chris BEYER,Emilie RICHARD,1.0
220868,Chris BEYER,Dominique ROYOUX,1.0
221427,Emilie RICHARD,Chris BEYER,1.0
221429,Emilie RICHARD,Dominique ROYOUX,1.0
221988,Dominique ROYOUX,Chris BEYER,1.0
221989,Dominique ROYOUX,Emilie RICHARD,1.0
226487,Marie-Elizabeth NICOLEAU,Alain BENINI,1.0
227047,Alain BENINI,Marie-Elizabeth NICOLEAU,1.0
227240,Mélissa POUPELLOZ,Valérie PUGIN,2.0
228735,Anna Paula BEJA HORTA,Joana MIRANDA,1.0
229295,Joana MIRANDA,Anna Paula BEJA HORTA,1.0
236270,Matias GOMEZ,Sophie KELLER,1.0
239183,Deborah GALIMBERTI,Gilles PINSON,1.0
239436,Deborah GALIMBERTI,Rémi DORMOIS,1.0
240686,Anne PINCHART,Catherine PANASSIER,2.0
240917,Anne PINCHART,Sandra DECELLE,2.0
241950,Marie-Clotilde MEILLERAND,Paul BOINO,1.0
245033,Vivienne BOLSIUS,Maaike OSIECK,2.0
245593,Maaike OSIECK,Vivienne BOLSIUS,2.0
247968,Laura DESMARIS,Ludovic VIÉVARD,1.0
247978,Laura DESMARIS,Jean-Marc BERTHET,1.0
248216,Laura DESMARIS,Yoann PUPAT,1.0
248405,Laura DESMARIS,Marc URHY,1.0
248529,Marc URHY,Ludovic VIÉVARD,1.0
248539,Marc URHY,Jean-Marc BERTHET,1.0
248777,Marc URHY,Yoann PUPAT,1.0
248965,Marc URHY,Laura DESMARIS,1.0
252647,Rémi DORMOIS,Gilles PINSON,1.0
252876,Rémi DORMOIS,Deborah GALIMBERTI,1.0
258521,Frédérique BRUYAS,Bernard PELLECUER,1.0
259081,Bernard PELLECUER,Frédérique BRUYAS,1.0
264141,Marianne GUEROIS,Fabien PAULUS,1.0
264701,Fabien PAULUS,Marianne GUEROIS,1.0
266951,Joël GOMBIN,Diane THIERRY,1.0
267511,Diane THIERRY,Joël GOMBIN,1.0
271447,Delphine SCIARRINO,Ludivine SCIARRINO,1.0
272007,Ludivine SCIARRINO,Delphine SCIARRINO,1.0
273695,Diane SAMAMA,Roland JOUVENT,1.0
274255,Roland JOUVENT,Diane SAMAMA,1.0
274819,Claude BREVAN,Dominique LAROUSSE,1.0
275379,Dominique LAROUSSE,Claude BREVAN,1.0
282216,Pascal BAVOUX,Catherine FORET,1.0
286059,Marine DOUCHY,Elina LUMBROSO,1.0
286060,Marine DOUCHY,Marina VALENTE,1.0
286619,Elina LUMBROSO,Marine DOUCHY,1.0
286621,Elina LUMBROSO,Marina VALENTE,1.0
287180,Marina VALENTE,Marine DOUCHY,1.0
287181,Marina VALENTE,Elina LUMBROSO,1.0
287745,Gaëtan BRISEPIERRE,Catherine GRANDCLEMENT,1.0
287746,Gaëtan BRISEPIERRE,Vincent RENAULD,1.0
288305,Catherine GRANDCLEMENT,Gaëtan BRISEPIERRE,1.0
288307,Catherine GRANDCLEMENT,Vincent RENAULD,1.0
288866,Vincent RENAULD,Gaëtan BRISEPIERRE,1.0
288867,Vincent RENAULD,Catherine GRANDCLEMENT,1.0
295051,Serge POUTS-LAJUS,Marielle RICHIE-MAGNIER,1.0
295611,Marielle RICHIE-MAGNIER,Serge POUTS-LAJUS,1.0
301233,Dieter GRAU,Jessica READ,1.0
301793,Jessica READ,Dieter GRAU,1.0
305237,Magdalena NIN-OTT,Eddy MAAROUFI,1.0
305729,Magdalena NIN-OTT,Antoine LIGIER,1.0
305798,Antoine LIGIER,Eddy MAAROUFI,1.0
306289,Antoine LIGIER,Magdalena NIN-OTT,1.0
